X,ERR525691,ERR525707,ERR525711,ERR525724,ERR525736,ERR525740,ERR525745,ERR525749,ERR525762,ERR525766,ERR525782,ERR525786,ERR525808,ERR525818,ERR525834,ERR525838,ERR525846,ERR525850,ERR525854,ERR525862,ERR525866,ERR525874,ERR525878,ERR525883,ERR525888,ERR525892,ERR525894,ERR525900,ERR525927,ERR525930,ERR525934,ERR525938,ERR525966,ERR525970,ERR525982,ERR525986,ERR525990,ERR525994,ERR525998,ERR526014,ERR526022,ERR526030,ERR526034,ERR526038,ERR526046,ERR526074,ERR526078,ERR526082
21673_4_53,0,0,1.8702968644206,0,0,0,0.144402493507027,0,0,0,0,0,0,0,0,0,0,0.275793229899333,0,0,0,0,0,0.12044324846465,0,0,0,0,0.135674351665943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263759297700357,0
21673_4_71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147895494671178,0,0,0,0,0,0,0,0,0,0,0.147696371846659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8080_1_69,0,0,0.15066080708974,0,0,0,0,0,0,0,0,0.148990929819834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8080_1_77,4.88621146169368,0,0,0,0,0,0,0,0,0,0,0,0,0.554916495133995,0,0,0,0,0,0,0,0,0,0,0.126911322446369,0,12.7365776656605,0,0,0,0,0,0,0,1.32622052737742,3.48677944185084,0,0,0,2.0561869280524,0,0,0,0,1.66603488754063,0,0,10.0009181248013
8080_1_78,0,0,0,0,0,0,9.01294903253133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8080_1_80,0,0,0,0,0,0,0,0,0,0.931271630542454,0,0,0,0,0,0.46942969250493,0,0.15825441654913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8080_1_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3758450066207,0.130142958128103,0,0,0,0,0,0
Acidaminococcus_sp_HPA0509,0,0,1.65210753883638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236407483515831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_ihuae_DSM_100538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129300502661448,0,0,0,0,0,0
Actinomyces_polynesiensis_DSM_27066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29481769437543
